0.845784
0,0
1,0
2,1
3,0
4,2
5,0
6,2
7,2
8,2
9,2
10,3
11,3
12,3
13,1
14,4
15,4
16,4
17,5
18,5
19,6
20,7
21,6
22,6
23,8
24,8
25,8
26,7
27,8
28,8
29,8
30,8
31,9
32,9
33,10
34,10
35,11
36,11
37,11
38,11
39,12
40,11
41,11
42,11
43,11
44,11
45,13
46,5
47,13
48,13
49,5
50,13
51,14
52,13
53,13
54,13
55,15
56,16
57,17
58,7
59,16
60,16
61,16
62,14
63,14
64,14
65,5
66,5
67,18
68,18
69,18
70,19
71,19
72,19
73,19
74,20
75,20
76,16
77,21
78,5
79,14
80,8
81,8
82,8
83,22
84,22
85,23
86,23
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,24
95,24
96,8
97,8
98,25
99,25
100,13
101,13
102,13
103,13
104,13
105,13
106,13
107,26
108,26
109,26
110,15
111,15
112,8
113,0
114,0
115,0
116,0
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,17
126,3
127,3
128,3
129,27
130,27
131,4
132,4
133,4
134,17
135,4
136,4
137,9
138,1
139,4
140,4
141,7
142,4
143,17
144,4
145,4
146,28
147,4
148,4
149,4
150,4
151,4
152,4
153,4
154,4
155,4
156,4
157,4
158,18
159,18
160,18
161,12
162,12
163,12
164,16
165,1
166,1
167,8
168,8
169,8
170,15
171,15
172,15
173,15
174,15
175,15
176,15
177,5
178,5
179,23
180,23
181,1
182,4
183,4
184,4
185,29
186,29
187,5
188,5
189,3
190,23
191,5
192,5
193,5
194,23
195,8
196,8
197,8
198,8
199,8
200,8
201,8
202,8
203,30
204,30
205,11
206,11
207,11
208,5
209,5
210,31
211,31
212,20
213,20
214,20
215,20
216,20
217,20
218,3
219,17
220,17
221,9
222,9
223,9
224,12
225,12
226,12
227,12
228,32
229,32
230,1
231,1
232,8
233,8
234,8
235,3
236,33
237,33
238,3
239,3
240,3
241,5
242,5
243,5
244,34
245,34
246,34
247,34
248,34
249,34
250,16
251,16
252,1
253,1
254,28
255,28
256,28
257,16
258,16
259,16
260,16
261,16
262,16
263,16
264,35
265,35
266,23
267,23
268,23
269,21
270,1
271,14
272,1
273,14
274,36
275,36
276,11
277,11
278,11
279,11
280,20
281,11
282,1
283,37
284,37
285,38
286,38
287,38
288,39
289,39
290,2
291,2
292,2
293,2
294,2
295,23
296,23
297,21
298,11
299,21
300,11
301,11
302,11
303,11
304,7
305,17
306,11
307,11
308,7
309,1
310,1
311,40
312,40
313,16
314,16
315,16
316,41
317,9
318,9
319,4
320,4
321,4
322,42
323,42
324,43
325,43
326,44
327,44
328,44
329,12
330,12
331,40
332,6
333,40
334,40
335,40
336,40
337,5
338,5
339,5
340,13
341,5
342,15
343,15
344,15
345,15
346,7
347,7
348,7
349,7
350,7
351,40
352,40
353,8
354,8
355,8
356,8
357,8
358,8
359,45
360,45
361,46
362,46
363,4
364,47
365,47
366,21
367,21
368,48
369,48
370,40
371,40
372,40
373,8
374,8
375,14
376,8
377,40
378,8
379,8
380,8
381,49
382,49
383,49
384,50
385,50
386,51
387,51
388,8
389,4
390,49
391,49
392,9
393,9
394,9
395,9
396,52
397,52
398,17
399,17
400,17
401,5
402,20
403,15
404,5
405,7
406,17
407,8
408,17
409,8
410,7
411,17
412,5
413,17
414,17
415,17
416,17
417,17
418,17
419,17
420,5
421,12
422,12
423,23
424,8
425,8
426,15
427,15
428,1
429,1
430,8
431,8
432,8
433,8
434,12
435,17
436,20
437,20
438,8
439,17
440,11
441,11
442,53
443,53
444,54
445,54
446,21
447,21
448,11
449,55
450,55
451,56
452,56
453,56
454,23
455,17
456,17
457,36
458,36
459,36
460,31
461,1
462,17
463,5
464,5
465,5
466,5
467,5
468,5
469,8
470,5
471,14
472,21
473,21
474,5
475,5
476,5
477,5
478,57
479,57
480,57
481,57
482,57
483,16
484,58
485,58
486,4
487,4
488,12
489,12
490,12
491,59
492,59
493,60
494,60
495,11
496,11
497,61
498,61
499,61
500,61
501,61
502,61
503,61
504,12
505,9
506,9
507,9
508,62
509,62
510,62
511,11
512,11
513,11
514,11
515,11
516,11
517,20
518,20
519,63
520,63
521,21
522,21
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,23
